0,0,0.725235,7.11455535
1,0.033333333,0.713486,6.99929766
2,0.066666667,0.718781,7.05124161
3,0.1,0.730453,7.16574393
4,0.133333333,0.72435,7.1058735
5,0.166666667,0.713333,6.99779673
6,0.2,0.702744,6.89391864
7,0.233333333,0.707016,6.93582696
8,0.266666667,0.708481,6.95019861
9,0.3,0.712402,6.98866362
10,0.333333333,0.715332,7.01740692
11,0.366666667,0.705627,6.92220087
12,0.4,0.714661,7.01082441
13,0.433333333,0.714294,7.00722414
14,0.466666667,0.711929,6.98402349
15,0.5,0.709869,6.96381489
16,0.533333333,0.707626,6.94181106
17,0.566666667,0.710022,6.96531582
18,0.6,0.711227,6.97713687
19,0.633333333,0.71196,6.9843276
20,0.666666667,0.718445,7.04794545
21,0.7,0.716415,7.02803115
22,0.733333333,0.713364,6.99810084
23,0.766666667,0.712418,6.98882058
24,0.8,0.71109,6.9757929
25,0.833333333,0.712677,6.99136137
26,0.866666667,0.714752,7.01171712
27,0.9,0.71489,7.0130709
28,0.933333333,0.711136,6.97624416
29,0.966666667,0.712067,6.98537727
30,1,0.715363,7.01771103
31,1.033333333,0.718796,7.05138876
32,1.066666667,0.712509,6.98971329
33,1.1,0.709061,6.95588841
34,1.133333333,0.710846,6.97339926
35,1.166666667,0.7164,7.027884
36,1.2,0.721939,7.08222159
37,1.233333333,0.723053,7.09314993
38,1.266666667,0.718399,7.04749419
39,1.3,0.712189,6.98657409
40,1.333333333,0.715988,7.02384228
41,1.366666667,0.716034,7.02429354
42,1.4,0.713715,7.00154415
43,1.433333333,0.709442,6.95962602
44,1.466666667,0.708145,6.94690245
45,1.5,0.711197,6.97684257
46,1.533333333,0.711594,6.98073714
47,1.566666667,0.711655,6.98133555
48,1.6,0.706207,6.92789067
49,1.633333333,0.705292,6.91891452
50,1.666666667,0.707901,6.94450881
51,1.7,0.710495,6.96995595
52,1.733333333,0.707077,6.93642537
53,1.766666667,0.709869,6.96381489
54,1.8,0.71405,7.0048305
55,1.833333333,0.71785,7.0421085
56,1.866666667,0.71376,7.0019856
57,1.9,0.708054,6.94600974
58,1.933333333,0.710876,6.97369356
59,1.966666667,0.710846,6.97339926
60,2,0.711624,6.98103144
61,2.033333333,0.714752,7.01171712
62,2.066666667,0.723724,7.09973244
63,2.1,0.725967,7.12173627
64,2.133333333,0.722198,7.08476238
65,2.166666667,0.719452,7.05782412
66,2.2,0.714996,7.01411076
67,2.233333333,0.714386,7.00812666
68,2.266666667,0.712952,6.99405912
69,2.3,0.703827,6.90454287
70,2.333333333,0.694153,6.80964093
71,2.366666667,0.698303,6.85035243
72,2.4,0.70816,6.9470496
73,2.433333333,0.714828,7.01246268
74,2.466666667,0.717957,7.04315817
75,2.5,0.714005,7.00438905
76,2.533333333,0.706955,6.93522855
77,2.566666667,0.70665,6.9322365
78,2.6,0.706512,6.93088272
79,2.633333333,0.712006,6.98477886
80,2.666666667,0.71286,6.9931566
81,2.7,0.707428,6.93986868
82,2.733333333,0.708069,6.94615689
83,2.766666667,0.708878,6.95409318
84,2.8,0.712189,6.98657409
85,2.833333333,0.711594,6.98073714
86,2.866666667,0.719757,7.06081617
87,2.9,0.714645,7.01066745
88,2.933333333,0.720459,7.06770279
89,2.966666667,0.730743,7.16858883
90,3,0.737106,7.23100986
91,3.033333333,0.728363,7.14524103
92,3.066666667,0.717377,7.03746837
93,3.1,0.71904,7.0537824
94,3.133333333,0.740112,7.26049872
95,3.166666667,0.737427,7.23415887
96,3.2,0.705444,6.92040564
97,3.233333333,0.665253,6.52613193
98,3.266666667,0.647827,6.35518287
99,3.3,0.690414,6.77296134
100,3.333333333,0.716339,7.02728559
101,3.366666667,0.745377,7.31214837
102,3.4,0.778885,7.64086185
103,3.433333333,0.787323,7.72363863
104,3.466666667,0.784393,7.69489533
105,3.5,0.784348,7.69445388
106,3.533333333,0.780731,7.65897111
107,3.566666667,0.734665,7.20706365
108,3.6,0.716934,7.03312254
109,3.633333333,0.710663,6.97160403
110,3.666666667,0.713242,6.99690402
111,3.7,0.760696,7.46242776
112,3.733333333,0.795242,7.80132402
113,3.766666667,0.799332,7.84144692
114,3.8,0.787033,7.72079373
115,3.833333333,0.763641,7.49131821
116,3.866666667,0.740906,7.26828786
117,3.9,0.78688,7.7192928
118,3.933333333,0.806488,7.91164728
119,3.966666667,0.776047,7.61302107
120,4,0.667419,6.54738039
121,4.033333333,0.522079,5.12159499
122,4.066666667,0.42041,4.1242221
123,4.1,0.442566,4.34157246
124,4.133333333,0.537048,5.26844088
125,4.166666667,0.596878,5.85537318
126,4.2,0.620987,6.09188247
127,4.233333333,0.642807,6.30593667
128,4.266666667,0.64064,6.2846784
129,4.3,0.62468,6.1281108
130,4.333333333,0.608688,5.97122928
131,4.366666667,0.599335,5.87947635
132,4.4,0.581146,5.70104226
133,4.433333333,0.57016,5.5932696
134,4.466666667,0.593918,5.82633558
135,4.5,0.664337,6.51714597
136,4.533333333,0.726685,7.12877985
137,4.566666667,0.778473,7.63682013
138,4.6,0.800766,7.85551446
139,4.633333333,0.876953,8.60290893
140,4.666666667,0.86174,8.4536694
141,4.7,0.681107,6.68165967
142,4.733333333,0.53891,5.2867071
143,4.766666667,0.525787,5.15797047
144,4.8,0.59111,5.7987891
145,4.833333333,0.655014,6.42568734
146,4.866666667,0.681229,6.68285649
147,4.9,0.644913,6.32659653
148,4.933333333,0.629639,6.17675859
149,4.966666667,0.663742,6.51130902
150,5,0.686188,6.73150428
151,5.033333333,0.696442,6.83209602
152,5.066666667,0.682266,6.69302946
