index;x;y;z
177;0.899994;0.639999;-0.479660
178;0.957260;0.646835;-0.538254
179;1.038208;0.773056;-0.711487
180;0.942215;0.653168;-0.885864
181;0.744278;0.483292;-0.829926
182;0.555603;0.453537;-0.635971
183;0.539764;0.437317;-0.578094
184;0.573456;0.443588;-0.515076
185;0.645981;0.405273;-0.463959
186;0.699249;0.329117;-0.429199
187;0.669296;0.306534;-0.407013
188;0.636383;0.342514;-0.401260
189;0.646988;0.355576;-0.413849
190;0.675919;0.336288;-0.410217
191;0.691498;0.327347;-0.399902
192;0.668839;0.321625;-0.395828
193;0.643219;0.367554;-0.395218
194;0.687775;0.432770;-0.446487
195;0.769531;0.531723;-0.536789
196;0.831314;0.554504;-0.560196
197;0.821045;0.648132;-0.660278
198;0.772629;0.931122;-0.822693
199;0.665436;0.835922;-0.777008
200;0.694763;0.882080;-0.628036
201;0.626312;0.740891;-0.488556
202;0.661362;0.664398;-0.554810
203;0.619125;0.661896;-0.575226
204;0.594452;0.610199;-0.528915
205;0.583633;0.490036;-0.435974
206;0.518478;0.452255;-0.356537
207;0.464127;0.467255;-0.328735
208;0.468369;0.480301;-0.343002
209;0.500900;0.507294;-0.355148
210;0.552307;0.510925;-0.362793
211;0.557770;0.495377;-0.355118
212;0.572144;0.533325;-0.374268
213;0.629822;0.583771;-0.389801
214;0.754089;0.594299;-0.497375
215;0.857193;0.591888;-0.560791
216;0.897141;0.608017;-0.673126
217;0.991684;0.625229;-0.913467
218;0.887421;0.532379;-0.961029
219;0.803345;0.393494;-0.812515
220;0.703461;0.418762;-0.734940
221;0.646240;0.446304;-0.626434
222;0.625809;0.410965;-0.508911
223;0.613937;0.312531;-0.403290
224;0.588364;0.284119;-0.367050
225;0.575638;0.293747;-0.378510
226;0.615448;0.306335;-0.411133
227;0.678772;0.331100;-0.449844
228;0.739838;0.343597;-0.469208
229;0.725449;0.332260;-0.450485
230;0.673325;0.368698;-0.449493
231;0.660110;0.407837;-0.454407
232;0.724884;0.475052;-0.501968
233;0.760147;0.475601;-0.545441
234;0.851471;0.591583;-0.575867
235;0.800095;0.524933;-0.622162
236;0.826950;0.847961;-0.827209
237;0.720108;0.753555;-0.791855
238;0.695343;0.728836;-0.619171
239;0.652954;0.613892;-0.549637
240;0.598190;0.603745;-0.593048
241;0.580261;0.633041;-0.608582
242;0.584915;0.576538;-0.540558
243;0.572403;0.521194;-0.445236
244;0.530518;0.499847;-0.380447
245;0.513855;0.487656;-0.359055
246;0.527161;0.486404;-0.348175
247;0.551270;0.502533;-0.347031
248;0.573318;0.512207;-0.364502
249;0.557922;0.513168;-0.368500
250;0.575653;0.544983;-0.395523
251;0.608871;0.589081;-0.385773
252;0.788269;0.630737;-0.452286
253;0.905716;0.650101;-0.549500
254;0.938660;0.615341;-0.583542
255;0.976578;0.670975;-0.710953
256;0.938934;0.616653;-0.869675
257;0.803986;0.437500;-0.790588
258;0.681107;0.423462;-0.657562
259;0.647675;0.443085;-0.596756
260;0.642334;0.425888;-0.522049
261;0.632095;0.363647;-0.459366
262;0.603165;0.314529;-0.425278
263;0.585953;0.323944;-0.413589
264;0.616669;0.338440;-0.433685
265;0.659775;0.354355;-0.459244
266;0.700668;0.348862;-0.463318
267;0.697052;0.329422;-0.440796
268;0.644318;0.328003;-0.409164
269;0.627823;0.399612;-0.414917
270;0.690399;0.438797;-0.488419
271;0.796097;0.528992;-0.628128
272;0.855423;0.588226;-0.641037
273;0.818878;0.603790;-0.643555
274;0.885864;0.757004;-0.777115
275;0.741104;0.657272;-0.745346
276;0.646866;0.682190;-0.580460
277;0.620224;0.575607;-0.552063
278;0.598709;0.632767;-0.604279
279;0.618195;0.694046;-0.614639
280;0.630386;0.623245;-0.542374
281;0.616287;0.537415;-0.433136
282;0.560074;0.484940;-0.352875
283;0.512482;0.459213;-0.335480
284;0.479462;0.475952;-0.337814
285;0.479614;0.507721;-0.334122
286;0.503738;0.522186;-0.351471
287;0.549072;0.533615;-0.395691
288;0.599457;0.555420;-0.398178
289;0.710495;0.613785;-0.385696
290;0.864761;0.655869;-0.484375
291;0.965469;0.677673;-0.595093
292;1.077332;0.747940;-0.764679
293;0.939987;0.632629;-0.903030
294;0.699600;0.540359;-0.799286
295;0.525421;0.476395;-0.664078
296;0.581604;0.481140;-0.635818
297;0.663010;0.456879;-0.557907
298;0.707977;0.391708;-0.501022
299;0.694443;0.319794;-0.441940
300;0.633179;0.323196;-0.409515
301;0.589859;0.356461;-0.398071
302;0.605621;0.348831;-0.397125
303;0.663315;0.330215;-0.414612
304;0.689789;0.320374;-0.418884
305;0.671768;0.308121;-0.399353
306;0.654037;0.375885;-0.398224
307;0.726273;0.421127;-0.454727
308;0.822128;0.523315;-0.590759
309;0.867783;0.563690;-0.598953
310;0.853287;0.621536;-0.629913
311;0.862015;0.830322;-0.809418
312;0.695572;0.754990;-0.780930
313;0.650650;0.725906;-0.587433
314;0.594986;0.646439;-0.534500
315;0.630630;0.630310;-0.593811
316;0.643707;0.652405;-0.614990
317;0.635178;0.594025;-0.534058
318;0.582932;0.519867;-0.429245
319;0.534058;0.458771;-0.360733
320;0.492661;0.448288;-0.354874
321;0.483749;0.464508;-0.354858
322;0.501663;0.484100;-0.341309
323;0.552216;0.507111;-0.364059
324;0.580063;0.513382;-0.393295
325;0.628326;0.559464;-0.412094
326;0.771484;0.653259;-0.455109
327;0.871307;0.603912;-0.510971
328;0.969406;0.634445;-0.582169
329;0.838837;0.628677;-0.632126
330;0.797699;0.733673;-0.787476
331;0.718842;0.549805;-0.817444
332;0.694107;0.430817;-0.710205
333;0.676376;0.442230;-0.624786
334;0.724091;0.453751;-0.546677
335;0.734619;0.431549;-0.499863
336;0.696518;0.367691;-0.466476
337;0.620010;0.349930;-0.423462
338;0.567123;0.347366;-0.389023
339;0.581741;0.331589;-0.373444
340;0.644028;0.321304;-0.409012
341;0.694809;0.347290;-0.439560
342;0.701416;0.342010;-0.428268
343;0.696152;0.407974;-0.434677
344;0.726959;0.434265;-0.488281
345;0.777008;0.523376;-0.591965
346;0.789825;0.544556;-0.582138
347;0.787949;0.579590;-0.632263
348;0.822464;0.801437;-0.773972
349;0.722778;0.804031;-0.815247
350;0.703735;0.757370;-0.699829
351;0.650421;0.590530;-0.511642
352;0.648453;0.627090;-0.580780
353;0.633652;0.632629;-0.570236
354;0.630768;0.610504;-0.536331
355;0.589951;0.521118;-0.446259
356;0.533020;0.454895;-0.364624
357;0.488510;0.431320;-0.354019
358;0.476624;0.459778;-0.356995
359;0.484940;0.529404;-0.376251
360;0.539322;0.554260;-0.379318
361;0.579681;0.531937;-0.398727
362;0.621124;0.551956;-0.439163
363;0.691528;0.579773;-0.417007
364;0.818176;0.577530;-0.443665
365;0.893097;0.608566;-0.526031
366;0.959213;0.671112;-0.632278
367;0.961456;0.645844;-0.888626
368;0.803101;0.564728;-0.996201
369;0.658356;0.432816;-0.768005
370;0.602676;0.481888;-0.681808
371;0.662827;0.454453;-0.563766
372;0.724304;0.379471;-0.494446
373;0.689560;0.301300;-0.446320
374;0.598007;0.290085;-0.407181
375;0.555969;0.320755;-0.388046
376;0.571915;0.326553;-0.382721
377;0.638763;0.279785;-0.391998
378;0.693619;0.262619;-0.420090
379;0.680878;0.267532;-0.442627
380;0.679764;0.371002;-0.466415
381;0.764557;0.444290;-0.538895
382;0.819595;0.443649;-0.510605
383;0.872818;0.668137;-0.643173
384;0.953583;0.792618;-0.750900
385;0.917496;0.854660;-0.851089
386;0.794601;0.790680;-0.728134
387;0.676514;0.721451;-0.540283
388;0.627594;0.667755;-0.546982
389;0.573257;0.563568;-0.525665
390;0.544266;0.563934;-0.503464
391;0.518570;0.513428;-0.419006
392;0.497879;0.460754;-0.352295
393;0.500763;0.465942;-0.348709
394;0.514313;0.490952;-0.365982
395;0.539078;0.533249;-0.380951
396;0.580200;0.555435;-0.387329
397;0.592636;0.533585;-0.384415
398;0.599808;0.562622;-0.416931
